Frame,UnityTime,StopwatchTime,TrialID,Event,Code
473,11.9974,11.389859,DMS_P1,StartEndBlock,8
473,11.9979,11.390333,DMS_P1,TrialOn,1
596,14.0458,13.438302,DMS_P1,SampleOn,2
619,14.5581,13.950593,DMS_P1,SampleOff,3
651,15.0939,14.486346,DMS_P1,DistractorOn,4
682,15.6082,15.000629,DMS_P1,DistractorOff,5
803,17.6251,17.017530,DMS_P1,Choice,7
804,17.6411,17.033604,DMS_P1,TargetOn,6
963,20.2927,19.685200,DMS_P2,TrialOn,1
1086,22.3416,21.734078,DMS_P2,SampleOn,2
1117,22.8578,22.250278,DMS_P2,SampleOff,3
1149,23.3914,22.783907,DMS_P2,DistractorOn,4
1180,23.9079,23.300394,DMS_P2,DistractorOff,5
1301,25.9257,25.318146,DMS_P2,Choice,7
1302,25.9418,25.334279,DMS_P2,TargetOn,6
2371,46.0488,45.441272,DMS_P3,TrialOn,1
2494,48.0986,47.491053,DMS_P3,SampleOn,2
2524,48.5991,47.991569,DMS_P3,SampleOff,3
2557,49.1491,48.541563,DMS_P3,DistractorOn,4
2588,49.6650,49.057428,DMS_P3,DistractorOff,5
