Frame,UnityTime,StopwatchTime,TrialID,Event,Details
236,9.1586,7.778913,PRACTICE,StartEndBlock,
236,9.1703,7.790149,PRACTICE,TrialOn,
462,11.1607,9.780547,PRACTICE,SampleOn,
518,11.6649,10.284713,PRACTICE,SampleOff,
577,12.1736,10.793416,PRACTICE,DistractorOn,
630,12.6813,11.301094,PRACTICE,DistractorOff,
862,14.6894,13.309252,PRACTICE,TargetOn,
863,14.6979,13.317740,PRACTICE,Choice,
923,15.2096,13.829406,PRACTICE,Feedback,
923,15.2144,13.834192,PRACTICE,AudioPlaying,
923,15.2147,13.834509,PRACTICE,TargetSelected,
923,15.2149,13.834724,PRACTICE,Fail,
1036,16.2220,14.841844,PRACTICE,Reset,
1037,16.2326,14.852386,PRACTICE,TrialOn,
1269,18.2378,16.857611,PRACTICE,SampleOn,
1327,18.7431,17.362883,PRACTICE,SampleOff,
1385,19.2451,17.864947,PRACTICE,DistractorOn,
1443,19.7505,18.370326,PRACTICE,DistractorOff,
1674,21.7513,20.371101,PRACTICE,TargetOn,
1675,21.7635,20.383303,PRACTICE,Choice,
1734,22.2728,20.892611,PRACTICE,Feedback,
1734,22.2736,20.893377,PRACTICE,AudioPlaying,
1734,22.2738,20.893630,PRACTICE,TargetSelected,
1734,22.2741,20.893872,PRACTICE,Fail,
1850,23.2910,21.910779,PRACTICE,Reset,
1851,23.3012,21.921025,PRACTICE,TrialOn,
2081,25.3047,23.924535,PRACTICE,SampleOn,
2139,25.8132,24.432988,PRACTICE,SampleOff,
2197,26.3147,24.934476,PRACTICE,DistractorOn,
2255,26.8178,25.437621,PRACTICE,DistractorOff,
2487,28.8259,27.445703,PRACTICE,TargetOn,
2488,28.8344,27.454249,PRACTICE,Choice,
2547,29.3470,27.966798,PRACTICE,Feedback,
2547,29.3474,27.967235,PRACTICE,AudioPlaying,
2547,29.3476,27.967381,PRACTICE,TargetSelected,
2547,29.3477,27.967542,PRACTICE,Fail,
2664,30.3599,28.979719,PRACTICE,Reset,
2665,30.3681,28.987904,PRACTICE,TrialOn,
2896,32.3747,30.994517,PRACTICE,SampleOn,
2954,32.8811,31.500897,PRACTICE,SampleOff,
3012,33.3829,32.002683,PRACTICE,DistractorOn,
3070,33.8861,32.505961,PRACTICE,DistractorOff,
3302,35.8935,34.513345,PRACTICE,TargetOn,
3303,35.9022,34.522003,PRACTICE,Choice,
3362,36.4112,35.031032,PRACTICE,Feedback,
3362,36.4117,35.031482,PRACTICE,AudioPlaying,
3362,36.4118,35.031636,PRACTICE,TargetSelected,
3362,36.4120,35.031766,PRACTICE,Fail,
3479,37.4249,36.044756,PRACTICE,Reset,
3480,37.4339,36.053665,PRACTICE,TrialOn,
3712,39.4403,38.060162,PRACTICE,SampleOn,
3770,39.9442,38.564006,PRACTICE,SampleOff,
3828,40.4500,39.069833,PRACTICE,DistractorOn,
