Frame,UnityTime,StopwatchTime,TrialID,Event,Code
65,3.5764,3.118873,MNM_P1,StartEndBlock,8
65,3.5771,3.119525,MNM_P1,Fixation,1
141,4.8422,4.384619,MNM_P1,CueOn,2
353,8.3750,7.917396,MNM_P1,SampleOn,3
414,9.3920,8.934431,MNM_P1,Choice,4
640,13.1599,12.702323,MNM_P2,Fixation,1
716,14.4256,13.968023,MNM_P2,CueOn,2
929,17.9754,17.517837,MNM_P2,SampleOn,3
991,19.0092,18.551639,MNM_P2,Choice,4
1217,22.7755,22.317913,MNM_P3,Fixation,1
1294,24.0585,23.600894,MNM_P3,CueOn,2
1505,27.5753,27.117733,MNM_P3,SampleOn,3
1567,28.6089,28.151333,MNM_P3,Choice,4
1794,32.3917,31.934116,MNM_P4,Fixation,1
1870,33.6586,33.201010,MNM_P4,CueOn,2
2082,37.1920,36.734401,MNM_P4,SampleOn,3
2144,38.2253,37.767703,MNM_P4,Choice,4
2369,41.9752,41.517590,MNM_P5,Fixation,1
2446,43.2584,42.800822,MNM_P5,CueOn,2
2658,46.7932,46.335602,MNM_P5,SampleOn,3
2720,47.8247,47.367146,MNM_P5,Choice,4
2947,51.6086,51.151028,MNM_P6,Fixation,1
3024,52.8919,52.434298,MNM_P6,CueOn,2
3236,56.4247,55.967093,MNM_P6,SampleOn,3
3298,57.4549,56.997345,MNM_P6,Choice,4
3524,61.2256,60.768007,MNM_P7,Fixation,1
3601,62.5087,62.051114,MNM_P7,CueOn,2
3814,66.0587,65.601094,MNM_P7,SampleOn,3
3875,67.0753,66.617668,MNM_P7,Choice,4
4101,70.8423,70.384680,MNM_P8,Fixation,1
4178,72.1252,71.667611,MNM_P8,CueOn,2
4391,75.6755,75.217920,MNM_P8,SampleOn,3
4454,76.7255,76.267939,MNM_P8,Choice,4
4681,80.5085,80.050911,MNM_P9,Fixation,1
4757,81.7751,81.317481,MNM_P9,CueOn,2
4969,85.3087,84.851153,MNM_P9,SampleOn,3
5031,86.3420,85.884454,MNM_P9,Choice,4
5257,90.1089,89.651320,MNM_P10,Fixation,1
5334,91.3921,90.934516,MNM_P10,CueOn,2
5546,94.9251,94.467510,MNM_P10,SampleOn,3
5609,95.9755,95.517927,MNM_P10,Choice,4
5835,99.7419,99.284368,MNM_P10,StartEndBlock,8
