Frame,UnityTime,StopwatchTime,TrialID,Event,Details
65,3.5757,3.118130,MNM_P1,StartEndBlock,
65,3.5769,3.119344,MNM_P1,TrialOn,
65,3.5770,3.119443,MNM_P1,Fixation,
141,4.8420,4.384411,MNM_P1,CueOn,
170,5.3253,4.867727,MNM_P1,CueOff,
171,5.3417,4.884101,MNM_P1,Delay1,
353,8.3747,7.917173,MNM_P1,SampleOn,
382,8.8584,8.400784,MNM_P1,SampleOff,
383,8.8747,8.417111,MNM_P1,Delay2,
414,9.3918,8.934227,MNM_P1,Choice,
578,12.1253,11.667691,MNM_P1,Fail,
578,12.1262,11.668622,MNM_P1,AudioPlaying_errorBeep,
639,13.1416,12.684030,MNM_P1,Reset,
639,13.1419,12.684306,MNM_P1,InterTrialInterval,
640,13.1596,12.702034,MNM_P2,TrialOn,
640,13.1598,12.702238,MNM_P2,Fixation,
716,14.4254,13.967817,MNM_P2,CueOn,
746,14.9250,14.467440,MNM_P2,CueOff,
747,14.9419,14.484362,MNM_P2,Delay1,
929,17.9752,17.517584,MNM_P2,SampleOn,
958,18.4582,18.000629,MNM_P2,SampleOff,
959,18.4748,18.017267,MNM_P2,Delay2,
991,19.0085,18.550895,MNM_P2,Choice,
1155,21.7415,21.283939,MNM_P2,Fail,
1155,21.7418,21.284225,MNM_P2,AudioPlaying_errorBeep,
1216,22.7581,22.300560,MNM_P2,Reset,
1216,22.7584,22.300787,MNM_P2,InterTrialInterval,
1217,22.7752,22.317610,MNM_P3,TrialOn,
1217,22.7754,22.317827,MNM_P3,Fixation,
1294,24.0582,23.600666,MNM_P3,CueOn,
1323,24.5416,24.084046,MNM_P3,CueOff,
1324,24.5582,24.100587,MNM_P3,Delay1,
1505,27.5751,27.117517,MNM_P3,SampleOn,
1535,28.0747,27.617166,MNM_P3,SampleOff,
1536,28.0915,27.633873,MNM_P3,Delay2,
1567,28.6082,28.150660,MNM_P3,Choice,
1732,31.3585,30.900963,MNM_P3,Fail,
1732,31.3588,30.901235,MNM_P3,AudioPlaying_errorBeep,
1793,32.3749,31.917353,MNM_P3,Reset,
1793,32.3752,31.917596,MNM_P3,InterTrialInterval,
1794,32.3914,31.933800,MNM_P4,TrialOn,
1794,32.3916,31.934028,MNM_P4,Fixation,
1870,33.6584,33.200770,MNM_P4,CueOn,
1899,34.1416,33.683976,MNM_P4,CueOff,
1900,34.1583,33.700677,MNM_P4,Delay1,
2082,37.1917,36.734149,MNM_P4,SampleOn,
2112,37.6918,37.234188,MNM_P4,SampleOff,
2113,37.7082,37.250584,MNM_P4,Delay2,
