Frame,UnityTime,StopwatchTime,TrialID,Event,Details
3364,58.3151,57.815803,MNM_P1,StartEndBlock,
3364,58.3183,57.818898,MNM_P1,TrialOn,
3364,58.3184,57.819000,MNM_P1,Idle,
3470,60.0806,59.581198,MNM_P1,Fixation,
3546,61.3477,60.848329,MNM_P1,CueOn,
3575,61.8309,61.331533,MNM_P1,CueOff,
3576,61.8477,61.348272,MNM_P1,Delay1,
3758,64.8808,64.381433,MNM_P1,SampleOn,
3788,65.3807,64.881324,MNM_P1,SampleOff,
3789,65.3974,64.898025,MNM_P1,Delay2,
3821,66.2625,65.763084,MNM_P1,Choice,
3888,67.4115,66.912153,MNM_P1,Success,
3888,67.4131,66.913675,MNM_P1,AudioPlaying_correctBeep,
3946,68.4221,67.922666,MNM_P1,Reset,
4458,76.9562,76.456790,MNM_P2,TrialOn,
4458,76.9564,76.457003,MNM_P2,Idle,
4563,78.7053,78.205884,MNM_P2,Fixation,
4640,79.9884,79.489000,MNM_P2,CueOn,
4669,80.4721,79.972721,MNM_P2,CueOff,
4670,80.4888,79.989389,MNM_P2,Delay1,
