TrialID,BlockCount,CueOnStimIndices,CueOnStimLocations,TargetOnStimIndices,TargetOnStimLocations,WrongTargetOnStimIndices,WrongTargetOnStimLocations,Rule1StimIndices,Rule2StimIndices
RSM2_188,2,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,12,10]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[12,10,1]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[2]
RSM2_189,2,"[20,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,0,20]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[6,20,0]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[3],[3]
RSM2_190,2,"[22,13,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[22,23,13]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[22,13,23]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[3]
RSM2_191,2,"[19,5,4]","[[-2,0,0],[0,0,0],[2,0,0]]","[19,4,19]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[4,19,19]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[3]
RSM2_192,2,"[16,15,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,16,17]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[16,17,16]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[1],[2]
RSM2_193,2,"[7,19,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,7,7]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[8,9,14]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[1],[1]
RSM2_194,2,"[22,13,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[22,13,13]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[13,22,13]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[1]
RSM2_195,2,"[9,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[9,9,9]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[18,5,23]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[1],[1]
RSM2_196,2,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[12,1,1]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[1,1,12]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[1]
RSM2_197,2,"[16,6,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,6,15]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[6,15,16]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[2],[2]
RSM2_198,2,"[1,23,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[23,17,1]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[17,23,1]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[3],[3]
RSM2_199,2,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,20,7]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[20,7,7]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[3]
RSM2_200,2,"[19,5,4]","[[-2,0,0],[0,0,0],[2,0,0]]","[5,19,19]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[19,19,5]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[3],[1]
RSM2_201,2,"[18,5,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[18,5,23]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[5,23,18]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[2]
RSM2_202,2,"[16,18,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[18,16,16]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[16,16,18]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[3],[1]
RSM2_203,2,"[1,23,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,17,23]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[17,1,23]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[2],[3]
RSM2_204,2,"[1,12,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[1,1,1]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[0,9,22]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[1]
RSM2_205,2,"[12,4,2]","[[-2,0,0],[0,0,0],[2,0,0]]","[12,12,2]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[12,2,12]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[1],[2]
RSM2_206,2,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,2,20]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[2,7,20]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[2],[2]
RSM2_207,2,"[1,23,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[23,1,17]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[1,23,17]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[3],[2]
RSM2_208,2,"[21,12,17]","[[-2,0,0],[0,0,0],[2,0,0]]","[12,21,21]","[[1.5,2,0],[2,2,0],[2.5,2,0]]","[21,21,12]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]",[3],[1]
RSM2_209,2,"[14,13,1]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,14,1]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[13,1,14]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[2]
RSM2_210,2,"[11,4,19]","[[-2,0,0],[0,0,0],[2,0,0]]","[4,19,11]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[4,11,19]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[3],[3]
RSM2_211,2,"[18,5,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[18,18,23]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[18,23,18]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[1],[2]
RSM2_212,2,"[3,5,11]","[[-2,0,0],[0,0,0],[2,0,0]]","[5,3,3]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[3,5,3]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[3],[1]
RSM2_213,2,"[10,20,7]","[[-2,0,0],[0,0,0],[2,0,0]]","[20,7,10]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[7,10,20]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[3],[3]
RSM2_214,2,"[9,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[9,6,6]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]","[6,9,6]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]",[2],[1]
RSM2_215,2,"[20,6,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[20,6,6]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]","[6,20,6]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]",[2],[1]
RSM2_216,2,"[18,5,23]","[[-2,0,0],[0,0,0],[2,0,0]]","[18,18,18]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[12,4,2]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[1],[1]
,,,,,,,,,
,,,,,,,,,
