Frame,UnityTime,StopwatchTime,TrialID,Event,Details
312,8.0963,7.675152,MNM_P1,StartEndBlock,
312,8.0983,7.677069,MNM_P1,TrialOn,
312,8.0984,7.677170,MNM_P1,Fixation,
389,9.3794,8.958218,MNM_P1,CueOn,
418,9.8623,9.441101,MNM_P1,CueOff,
419,9.8788,9.457600,MNM_P1,Delay1,
601,12.9118,12.490607,MNM_P1,SampleOn,
630,13.3960,12.974723,MNM_P1,SampleOff,
631,13.4127,12.991456,MNM_P1,Delay2,
662,13.9292,13.507962,MNM_P1,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (0): 3s,
663,13.9456,13.524334,MNM_P1,Choice,
871,17.5193,17.098111,MNM_P1,Success,
871,17.5196,17.098381,MNM_P1,AudioPlaying_correctBeep,
932,18.5342,18.113004,MNM_P1,Reset,
932,18.5355,18.114271,MNM_P2,TrialOn,
932,18.5356,18.114381,MNM_P2,Fixation,
1009,19.8174,19.396182,MNM_P2,CueOn,
1039,20.3174,19.896182,MNM_P2,CueOff,
1040,20.3344,19.913163,MNM_P2,Delay1,
1222,23.3675,22.946315,MNM_P2,SampleOn,
1252,23.8680,23.446751,MNM_P2,SampleOff,
1253,23.8841,23.462872,MNM_P2,Delay2,
1284,24.4010,23.979794,MNM_P2,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (0): 3s,
1285,24.4178,23.996601,MNM_P2,Choice,
1646,30.4340,30.012813,MNM_P2,Fail,
1646,30.4346,30.013403,MNM_P2,AudioPlaying_errorBeep,
1706,31.4343,31.013061,MNM_P2,Reset,
1706,31.4346,31.013372,MNM_P3,TrialOn,
1706,31.4347,31.013465,MNM_P3,Fixation,
1783,32.7174,32.296220,MNM_P3,CueOn,
1812,33.2011,32.779920,MNM_P3,CueOff,
1813,33.2177,32.796445,MNM_P3,Delay1,
1995,36.2506,35.829340,MNM_P3,SampleOn,
2024,36.7344,36.313142,MNM_P3,SampleOff,
2025,36.7506,36.329390,MNM_P3,Delay2,
2055,37.2511,36.829825,MNM_P3,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (0): 3s,
2056,37.2675,36.846274,MNM_P3,Choice,
2416,43.2673,42.846089,MNM_P3,Fail,
2416,43.2681,42.846840,MNM_P3,AudioPlaying_errorBeep,
2476,44.2674,43.846146,MNM_P3,Reset,
2476,44.2676,43.846413,MNM_P4,TrialOn,
2476,44.2677,43.846505,MNM_P4,Fixation,
2553,45.5511,45.129840,MNM_P4,CueOn,
2583,46.0508,45.629593,MNM_P4,CueOff,
2584,46.0677,45.646424,MNM_P4,Delay1,
