Time,TrialID,Event,Details
13:57:32.074,PRACTICE,StartEndBlock,
13:57:32.079,PRACTICE,TrialOn,
13:57:34.073,PRACTICE,SampleOn,
13:57:34.573,PRACTICE,SampleOff,
13:57:35.077,PRACTICE,DistractorOn,
13:57:35.582,PRACTICE,DistractorOff,
13:57:37.582,PRACTICE,TargetOn,
13:57:37.728,PRACTICE,Choice,
13:57:39.466,PRACTICE,Clicked,
13:57:39.626,PRACTICE,Feedback,
13:57:39.636,PRACTICE,SelectingTarget,
13:57:39.638,PRACTICE,AudioPlaying,
13:57:39.638,PRACTICE,Success,
13:57:40.833,PRACTICE,Reset,
13:57:40.963,PRACTICE,TrialOn,
13:57:42.965,PRACTICE,SampleOn,
13:57:43.465,PRACTICE,SampleOff,
13:57:43.969,PRACTICE,DistractorOn,
13:57:44.472,PRACTICE,DistractorOff,
13:57:46.473,PRACTICE,TargetOn,
13:57:46.603,PRACTICE,Choice,
13:57:48.829,PRACTICE,Clicked,
13:57:48.955,PRACTICE,Feedback,
13:57:48.956,PRACTICE,AudioPlaying,
13:57:48.956,PRACTICE,TargetSelected,
13:57:48.956,PRACTICE,Fail,
13:57:50.121,PRACTICE,Reset,
13:57:50.246,PRACTICE,TrialOn,
13:57:52.249,PRACTICE,SampleOn,
13:57:52.753,PRACTICE,SampleOff,
13:57:53.257,PRACTICE,DistractorOn,
13:57:53.761,PRACTICE,DistractorOff,
13:57:55.765,PRACTICE,TargetOn,
13:57:55.769,PRACTICE,Choice,
