Frame,UnityTime,StopwatchTime,TrialID,Event,Code
66,3.2131,2.723718,MNM_P1,StartEndBlock,8
66,3.2137,2.724299,MNM_P1,Fixation,1
142,4.4794,3.990065,MNM_P1,CueOn,2
355,8.0301,7.540741,MNM_P1,SampleOn,3
417,9.0628,8.573420,MNM_P1,Choice,4
658,13.0808,12.591448,MNM_P2,Fixation,1
734,14.3463,13.856913,MNM_P2,CueOn,2
946,17.8800,17.390655,MNM_P2,SampleOn,3
1007,18.8961,18.406771,MNM_P2,Choice,4
1428,25.9133,25.423953,MNM_P3,Fixation,1
1492,28.1307,27.641331,MNM_P3,CueOn,2
1705,31.6796,31.190193,MNM_P3,SampleOn,3
1767,32.7132,32.223809,MNM_P3,Choice,4
2186,39.6965,39.207112,MNM_P4,Fixation,1
2263,40.9768,40.487469,MNM_P4,CueOn,2
