Frame,UnityTime,StopwatchTime,TrialID,Event,Details
66,3.2124,2.723098,MNM_P1,StartEndBlock,
66,3.2135,2.724132,MNM_P1,TrialOn,
66,3.2136,2.724220,MNM_P1,Fixation,
142,4.4792,3.989832,MNM_P1,CueOn,
172,4.9792,4.489827,MNM_P1,CueOff,
173,4.9960,4.506658,MNM_P1,Delay1,
355,8.0294,7.540073,MNM_P1,SampleOn,
384,8.5131,8.023700,MNM_P1,SampleOff,
385,8.5297,8.040377,MNM_P1,Delay2,
416,9.0461,8.556746,MNM_P1,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (0): 3s,
417,9.0626,8.573225,MNM_P1,Choice,
597,12.0645,11.575158,MNM_P1,Success,
597,12.0650,11.575607,MNM_P1,AudioPlaying_correctBeep,
658,13.0793,12.589959,MNM_P1,Reset,
658,13.0806,12.591251,MNM_P2,TrialOn,
658,13.0807,12.591361,MNM_P2,Fixation,
734,14.3461,13.856718,MNM_P2,CueOn,
763,14.8298,14.340449,MNM_P2,CueOff,
764,14.8465,14.357126,MNM_P2,Delay1,
946,17.8798,17.390432,MNM_P2,SampleOn,
975,18.3631,17.873743,MNM_P2,SampleOff,
976,18.3794,17.890043,MNM_P2,Delay2,
1006,18.8797,18.390299,MNM_P2,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (0): 3s,
1007,18.8959,18.406578,MNM_P2,Choice,
1367,24.8963,24.406962,MNM_P2,Fail,
1367,24.8971,24.407762,MNM_P2,AudioPlaying_errorBeep,
1428,25.9127,25.423391,MNM_P2,Reset,
1428,25.9131,25.423748,MNM_P3,TrialOn,
1428,25.9132,25.423870,MNM_P3,Fixation,
1492,28.1305,27.641111,MNM_P3,CueOn,
1522,28.6292,28.139847,MNM_P3,CueOff,
1523,28.6460,28.156650,MNM_P3,Delay1,
1705,31.6793,31.189946,MNM_P3,SampleOn,
1735,32.1791,31.689745,MNM_P3,SampleOff,
1736,32.1956,31.706248,MNM_P3,Delay2,
1766,32.6957,32.206358,MNM_P3,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (0): 3s,
1767,32.7129,32.223571,MNM_P3,Choice,
2126,38.6959,38.206557,MNM_P3,Fail,
2126,38.6962,38.206827,MNM_P3,AudioPlaying_errorBeep,
2186,39.6960,39.206686,MNM_P3,Reset,
2186,39.6963,39.206941,MNM_P4,TrialOn,
2186,39.6964,39.207031,MNM_P4,Fixation,
2263,40.9765,40.487135,MNM_P4,CueOn,
2292,41.4627,40.973305,MNM_P4,CueOff,
2293,41.4797,40.990348,MNM_P4,Delay1,
