Frame,UnityTime,StopwatchTime,TrialID,Event,Details
190,5.3534,4.898074,MNM_P1,StartEndBlock,
190,5.3545,4.899140,MNM_P1,TrialOn,
190,5.3546,4.899230,MNM_P1,Fixation,
267,6.6355,6.180140,MNM_P1,CueOn,
297,7.1354,6.680086,MNM_P1,CueOff,
298,7.1521,6.696767,MNM_P1,Delay1,
479,10.1693,9.713902,MNM_P1,SampleOn,
509,10.6690,10.213602,MNM_P1,SampleOff,
510,10.6857,10.230349,MNM_P1,Delay2,
542,11.2188,10.763462,MNM_P1,Choice,
722,14.2191,13.763689,MNM_P1,Fail,
722,14.2195,13.764132,MNM_P1,AudioPlaying_errorBeep,
783,15.2356,14.780281,MNM_P1,Reset,
783,15.2359,14.780575,MNM_P1,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (3): 0s,
784,15.2533,14.797952,MNM_P2,TrialOn,
784,15.2535,14.798153,MNM_P2,Fixation,
860,16.5191,16.063764,MNM_P2,CueOn,
889,17.0026,16.547190,MNM_P2,CueOff,
890,17.0191,16.563767,MNM_P2,Delay1,
1071,20.0354,19.580053,MNM_P2,SampleOn,
1101,20.5357,20.080297,MNM_P2,SampleOff,
1102,20.5520,20.096669,MNM_P2,Delay2,
1123,21.0833,20.627976,MNM_P2,Choice,
1303,24.0833,23.627910,MNM_P2,Fail,
1303,24.0836,23.628201,MNM_P2,AudioPlaying_errorBeep,
1364,25.1027,24.647326,MNM_P2,Reset,
1364,25.1031,24.647700,MNM_P2,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (3): 0s,
1365,25.1165,24.661106,MNM_P3,TrialOn,
1365,25.1167,24.661316,MNM_P3,Fixation,
1441,26.3828,25.927454,MNM_P3,CueOn,
1471,26.8828,26.427463,MNM_P3,CueOff,
1472,26.9009,26.445557,MNM_P3,Delay1,
1654,29.9332,29.477873,MNM_P3,SampleOn,
1683,30.4165,29.961180,MNM_P3,SampleOff,
1684,30.4330,29.977654,MNM_P3,Delay2,
1715,30.9499,30.494569,MNM_P3,Choice,
1895,33.9498,33.494406,MNM_P3,Fail,
1895,33.9505,33.495169,MNM_P3,AudioPlaying_errorBeep,
1956,34.9663,34.510887,MNM_P3,Reset,
1956,34.9665,34.511161,MNM_P3,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (3): 0s,
1957,34.9830,34.527602,MNM_P4,TrialOn,
1957,34.9832,34.527808,MNM_P4,Fixation,
2034,36.2672,35.811796,MNM_P4,CueOn,
2064,36.7661,36.310713,MNM_P4,CueOff,
2065,36.7833,36.327983,MNM_P4,Delay1,
2247,39.8166,39.361257,MNM_P4,SampleOn,
2277,40.3164,39.861001,MNM_P4,SampleOff,
2278,40.3336,39.878232,MNM_P4,Delay2,
2310,40.8664,40.410995,MNM_P4,Choice,
2489,43.8500,43.394602,MNM_P4,Fail,
2489,43.8503,43.394900,MNM_P4,AudioPlaying_errorBeep,
2549,44.8498,44.394440,MNM_P4,Reset,
2549,44.8501,44.394692,MNM_P4,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (3): 0s,
2550,44.8662,44.410875,MNM_P5,TrialOn,
2550,44.8665,44.411098,MNM_P5,Fixation,
2626,46.1328,45.677435,MNM_P5,CueOn,
2655,46.6171,46.161707,MNM_P5,CueOff,
2656,46.6333,46.177953,MNM_P5,Delay1,
2838,49.6663,49.210964,MNM_P5,SampleOn,
2867,50.1495,49.694170,MNM_P5,SampleOff,
2868,50.1663,49.710938,MNM_P5,Delay2,
2895,50.6875,50.232115,MNM_P5,Choice,
3075,53.6867,53.231294,MNM_P5,Fail,
3075,53.6870,53.231597,MNM_P5,AudioPlaying_errorBeep,
3135,54.6867,54.231335,MNM_P5,Reset,
3135,54.6869,54.231578,MNM_P5,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (3): 0s,
3136,54.7033,54.247960,MNM_P6,TrialOn,
3136,54.7035,54.248156,MNM_P6,Fixation,
3213,55.9865,55.531182,MNM_P6,CueOn,
3242,56.4699,56.014540,MNM_P6,CueOff,
3243,56.4868,56.031483,MNM_P6,Delay1,
3424,59.5043,59.048982,MNM_P6,SampleOn,
3453,59.9973,59.541927,MNM_P6,SampleOff,
3454,60.0146,59.559211,MNM_P6,Delay2,
3483,61.0120,60.556646,MNM_P6,Choice,
