Frame,UnityTime,StopwatchTime,TrialID,Event,Code
190,5.3541,4.898710,MNM_P1,StartEndBlock,8
190,5.3547,4.899305,MNM_P1,Fixation,1
267,6.6361,6.180759,MNM_P1,CueOn,2
479,10.1695,9.714137,MNM_P1,SampleOn,3
542,11.2190,10.763661,MNM_P1,Choice,4
784,15.2536,14.798240,MNM_P2,Fixation,1
860,16.5193,16.063979,MNM_P2,CueOn,2
1071,20.0361,19.580759,MNM_P2,SampleOn,3
1123,21.0836,20.628231,MNM_P2,Choice,4
1365,25.1168,24.661406,MNM_P3,Fixation,1
1441,26.3835,25.928147,MNM_P3,CueOn,2
1654,29.9335,29.478135,MNM_P3,SampleOn,3
1715,30.9502,30.494814,MNM_P3,Choice,4
1957,34.9833,34.527901,MNM_P4,Fixation,1
2034,36.2674,35.812021,MNM_P4,CueOn,2
2247,39.8169,39.361505,MNM_P4,SampleOn,3
2310,40.8666,40.411228,MNM_P4,Choice,4
2550,44.8666,44.411191,MNM_P5,Fixation,1
2626,46.1330,45.677644,MNM_P5,CueOn,2
2838,49.6667,49.211308,MNM_P5,SampleOn,3
2895,50.6878,50.232397,MNM_P5,Choice,4
3136,54.7036,54.248241,MNM_P6,Fixation,1
3213,55.9868,55.531402,MNM_P6,CueOn,2
3424,59.5049,59.049523,MNM_P6,SampleOn,3
3483,61.0122,60.556883,MNM_P6,Choice,4
